"filename", "language", "Svelte", "JavaScript", "HTML", "TypeScript", "JSON", "JSON with Comments", "Markdown", "Ignore", "comment", "blank", "total"
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/.eslintrc.cjs", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 11, 1, 2, 14
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/.prettierrc", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 245, 0, 0, 44, 289
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/package-lock.json", "JSON", 0, 0, 0, 0, 5580, 0, 0, 0, 0, 1, 5581
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/package.json", "JSON", 0, 0, 0, 0, 67, 0, 0, 0, 0, 1, 68
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/playwright.config.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/app.d.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 6, 2, 13
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/app.html", "HTML", 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/index.test.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/components/Anchor/Anchor.svelte", "Svelte", 431, 0, 0, 0, 0, 0, 0, 0, 0, 66, 497
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/components/Controls/Controls.svelte", "Svelte", 141, 0, 0, 0, 0, 0, 0, 0, 0, 22, 163
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/components/Edge/Edge.svelte", "Svelte", 231, 0, 0, 0, 0, 0, 0, 0, 0, 36, 267
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/components/Edge/EdgeContext.svelte", "Svelte", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/components/Editor/Editor.svelte", "Svelte", 69, 0, 0, 0, 0, 0, 0, 0, 0, 9, 78
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/components/Group/Group.svelte", "Svelte", 38, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/components/Group/GroupBoundingBox.svelte", "Svelte", 46, 0, 0, 0, 0, 0, 0, 0, 0, 9, 55
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/components/Minimap/Minimap.svelte", "Svelte", 145, 0, 0, 0, 0, 0, 0, 0, 0, 26, 171
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/components/Minimap/MinimapNode.svelte", "Svelte", 42, 0, 0, 0, 0, 0, 0, 0, 0, 7, 49
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/components/Node/DefaultNode.svelte", "Svelte", 118, 0, 0, 0, 0, 0, 0, 0, 0, 15, 133
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/components/Node/Header.svelte", "Svelte", 59, 0, 0, 0, 0, 0, 0, 0, 1, 10, 70
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/components/Node/InternalNode.svelte", "Svelte", 209, 0, 0, 0, 0, 0, 0, 0, 2, 38, 249
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/components/Node/Node.svelte", "Svelte", 131, 0, 0, 0, 0, 0, 0, 0, 0, 13, 144
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/components/Resizer/Resizer.svelte", "Svelte", 82, 0, 0, 0, 0, 0, 0, 0, 1, 15, 98
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/components/SelectionBox/SelectionBox.svelte", "Svelte", 94, 0, 0, 0, 0, 0, 0, 0, 0, 18, 112
